_unit_id,_golden,_unit_state,_trusted_judgments,_last_judgment_at,elderly_radio,elderly_radio:confidence,other_exclcrit,other_exclcrit:confidence,other_radio,other_radio:confidence,si_radio,si_radio:confidence,tech_radio,tech_radio:confidence,unsure_elderly,unsure_elderly:confidence,unsure_si,unsure_si:confidence,unsure_tech,unsure_tech:confidence,criteria,elderly_radio_gold,full_text,in_out,other_exclcrit_gold,other_radio_gold,paper_abstract,paper_title,si_radio_gold,tech_radio_gold,unsure_elderly_gold,unsure_si_gold,unsure_tech_gold
1165492146,true,golden,50,"",yes,0.8178,,0,no,0.9227,yes,1.0,no,0.929,,0,,,,,no tech,"yes
unsure",0,0,,"yes
no","Objectives: To explore an innovative social eating programme model for older Tasmanians, Eating with Friends (EWF), from the perspectives of its participants, to establish how successfully it is meeting the organisational aims of strengthening community, reducing social isolation and enhancing mental well-being. Methods: Focus groups and in-depth interviews, together with brief individual questionnaires, were undertaken with participants in four EWF groups: two urban and two rural, and with two well-established and two recently established groups. Results: The study found that EWF was meeting the social eating needs of its participants, doing so through nurturing a sense of community. Conclusion: The flexible model used by EWF was key to its success in achieving its aims. This allowed individual groups to evolve in ways which fitted the needs and aspirations of participants. While participants enjoyed their meals, the social environment and meal settings were determining factors for ongoing participation in EWF. © 2016 ACOTA.",I come for the friendship': Why social eating matters,yes,no,,,
1165492147,true,golden,36,"",yes,0.8825,,,no,1.0,yes,0.9648,yes,1.0,,,,,,,not SI,yes,0,0,,"yes
no","Background: The rise of mobile Web-based technologies has diversified the mechanisms used by people to socialize, which results in issues in family communication. Among these concerns, the reluctance of older adults to use digital media may cause them social isolation, leading to negative effects in their physical and mental health. Objective: This paper aims to formalize a model to mediate asymmetries in cross-generational communication and support the eInclusion of older adults. Methods: We conducted semi-structured interviews to the members of 20 cross-generational families. Following the grounded theory approach, we identified emerging themes regarding asymmetries in family communication practices when older adults are involved. We then derived and formalized computer-based mediation strategies using a model-driven engineering approach. Results: We identified three main sources of asymmetries: (1) implicit family agreements in terms of social interaction, (2) capability and preferences for using particular media, and (3) unbalanced socio-affective coupling between the involved parties. The proposed model addresses these asymmetries and provides strategies to coordinate the communication effort of family members with their elders. Conclusions: By using the proposed model, designers of software that supports family communities can conceive effective mechanisms to coordinate and mediate social communication among cross-generational family members through digital means. This allows the elderly to show a better reaction to digital media, thus facilitating their acceptance and appropriation of information technologies. © Springer International Publishing Switzerland 2015.",Mediating asymmetries in family communication: Supporting the eInclusion of older adults,no,yes,,,
1165492150,true,golden,50,"",no,1.0,,0,no,0.8384,yes,0.926,yes,0.926,,,,,,,not OA,no,0,0,,"yes
no","With the development of new media, the issue of privacy and its determinants has become the subject of a large body of literature in recent years. The main objective of this study was to check whether loneliness is a predictor of putting private information on Facebook. The participants were 887 young people. Facebook Privacy Scale and Loneliness Scale were used. We showed that young age and loneliness are predictors of disclosure on Facebook. Moreover, junior high school students more often put private information on their Facebook profiles than senior high school and university students. © 2015 Elsevier Ltd.",Who discloses the most on Facebook,yes,yes,,,
1167478658,false,finalized,4,3/6/2017 04:49:55,no,1.0,,0,no,0.7368,no,1.0,no,1.0,,,,,,,"not OA, not SI, no tech",,0,0,,,"Many lines of evidence suggest that schizophrenia has a major developmental component and that environmental factors that disrupt key stages of development, such as maternal stress during pregnancy as a result of infection or malnutrition, can increase the risk of developing schizophrenia in later life. This review examines how non-clinical neurodevelopmental models pertinent to schizophrenia have been evaluated for their ability to reproduce behavioural deficits related to the negative symptoms of schizophrenia. The more frequently used are the prenatal application of the mitotoxic agent methylazoxymethanol, prenatal immune challenge and the neonatal ventral hippocampus lesion model. In general they have been extensively evaluated in models considered relevant to positive symptoms of schizophrenia. In contrast, very few studies have examined tests related to negative symptoms and, when they have, it has almost exclusively been a social interaction model. Other aspects related to negative symptoms such as anhedonia, affective flattening and avolition have almost never been studied. Further studies examining other components of negative symptomatology are needed to more clearly associate these deficits with a schizophrenia-like profile as social withdrawal is a hallmark of many disorders. Although there are no truly effective treatments for negative symptoms, better characterisation with a broader range of drugs used in schizophrenia will be necessary to better evaluate the utility of these models. In summary, developmental models of schizophrenia have been extensively studied as models of positive symptoms but, given the unmet need in the clinic, the same effort now needs to be made with regard to negative symptoms. © 2013 Elsevier B.V. and ECNP.",Evaluating negative-symptom-like behavioural changes in developmental models of schizophrenia,,,,,
1167478659,false,finalized,4,3/6/2017 04:49:55,yes,1.0,,,no,1.0,yes,0.7368,no,1.0,,,,,,,"not SI, no tech",,0,0,,,"Although depression in old age is less common than depression in younger populations, it still affects more than 1 million community-living older adults. Depression in late life has been associated with reduced quality of life and increased mortality from both suicide and illness. Its causes are multifactorial but are prominently related to both biologic and social factors. Psychological factors, although less studied in elders, are also important in understanding its cause. In this article, multiple facets of late-life depression are reviewed, including its clinical presentation, epidemiology, and biopsychosocial causes. © 2013 Elsevier Inc.",What Are the Causes of Late-Life Depression?,,,,,
1167478660,false,finalized,3,3/6/2017 05:40:25,yes,1.0,,0,no,0.6667,no,1.0,no,1.0,,,,,,,"not SI, no tech",,0,0,,,"Background. Late-life sexuality is an important quality-of-life issue that has been minimally explored. This survey seeks to extend our knowledge of the relationship of sexual attitudes and preferences to sexual functioning of a large group of older, community-dwelling men. Methods. Older men aged 58-94 (N = 1,202) were surveyed with an anonymous self-administered questionnaire including 63 items regarding present and past, actual and desired sexual practices and attitudes. Results. Although age correlated consistently with increased erectile dysfunction and decreased sexual activity, a substantial number of older men continued active sexual behaviors supported by positive attitudes toward sexual function. It was found that both health status and perceived partner's responsiveness are prominent moderators of the age effect. Conclusion. In the absence of social isolation and health issues, many older men show persistently active sexual lifestyles as evidenced in their interest and participation in sexual activities. These findings negate a portion of the starkly negative imagery of sexual expression in aging males.","Sexual function in 1,202 aging males: Differentiating aspects",,,,,
1167478661,false,finalized,5,3/6/2017 04:33:08,yes,1.0,,,no,1.0,yes,1.0,no,1.0,,,,,,,no tech,,0,0,,,"100 old people (age range 60-94 years) were studied with respect to the state of their emotions. The chief factors leading to emotional sterility were loneliness, retirement and decline in sensory and locomotory functions. Among the 100 subjects, 60 were optimists and 40 were pessimists; most of the pessimists were lonely people. Suggestions are made for combating emotional 'emptiness' before it leads to catastrophic mental impairment.",Old age emotions,,,,,
1167478662,false,finalized,3,3/6/2017 04:11:38,yes,1.0,,,no,1.0,no,0.7143,no,1.0,,,,,,,no tech,,0,0,,,"To date, there have been no surveys focusing on older adults living in suburban communities. As the majority of American seniors reside in suburbia, it is important to understand factors that impede successful aging in these settings. This study surveyed 1,151 seniors to examine the needs of seniors living in a large suburban community across two counties in the northeastern United States. Specific areas of query included the following: transportation, health status, social support, self-sufficiency, and economic factors. Findings revealed that seniors over 85, minorities, those reporting poor health, and those who do not drive were at especially high risk of service access problems and social isolation. © 2013 Copyright Taylor and Francis Group, LLC.",Aging in Suburbia: An Assessment of Senior Needs,,,,,
1167478663,false,finalized,3,3/6/2017 04:11:38,no,0.7143,,,no,1.0,no,1.0,no,1.0,,0,,,,,"not SI, no tech",,0,0,,,"The methods of ethnography and action research have much to offer to the field of speech-language pathology, particularly as our clinical populations are becoming increasingly diverse. We suggest that practicing speech-language pathologists and students, as well as researchers, will benefit from strategies that use the methods of participatory action research and ethnography as guiding principles to their work. Ethnography seeks to discover meaningful structures in a culture from the perspective of those whose culture it is. Action research, which shares a methodological basis with ethnography, is undertaken with the aim of improving the functioning of the social institution, practice, or structure investigated for the benefit of those most closely involved with that institution or practice. By way of illustration, we use data collected during fieldwork in Louisiana, involving persons with dementia from linguistically and culturally diverse backgrounds. Copyright © 2009 by Thieme Medical Publishers, Inc.","Discourses of dementia: A call for an ethnographic, action research approach to care in linguistically and culturally diverse environments",,,,,
1167478664,false,finalized,5,3/6/2017 04:47:40,yes,1.0,It was an interview study.,0.2227,yes,0.5864,yes,0.5546,no,1.0,,,,,,,no tech,,0,0,,,"Objective: This study examined the moderator role of intergenerational family capital on the relationship between community social capital and life satisfaction of older Chinese adults. Method: The data were derived from a quota sampling of 372 older adults aged 60 and above, who were interviewed at four districts in Hong Kong in 2011. Multiple group analysis was employed to examine the proposed model. Results: For the low family capital group, community social capital was found to be a significant predictor of life satisfaction, even when the well-known covariates were controlled. However, the association between community social capital and life satisfaction was statistically non-significant among the high family capital group. Discussion: The findings highlighted the interplay between community social capital and intergenerational family capital, which supported community social capital replacement theory in understanding the mechanism linking social capital to life satisfaction in older age in a Chinese context. Community social capital can play a compensatory role in maintaining the mental health of older people. It is particularly important for older adults who lack family support and/or suffer from social isolation and loneliness in local communities. © 2015 Taylor & Francis",The impacts of community social capital on the life satisfaction of older adults in Hong Kong: the moderator role of intergenerational family capital,,,,,
