worker_id,criteria,accuracy,n_votes
ADBE9G8EYUW6A,intervention Vote,0.8,5
A224B7BAQ0MZSN,older adult vote,0.75,8
A21I4DTJGWJYQJ,intervention Vote,0.711538461538,52
APQMFEY1KUL6A,intervention Vote,0.857142857143,7
A2TBXASXZIRNNW,intervention Vote,0.8,5
A1DABMXVWWL0TR,intervention Vote,0.8,5
A2COCSUGZV28X,intervention Vote,0.75,8
AT6KZZ2OTABWK,intervention Vote,0.756097560976,41
A3F9N2P4NUUR7S,intervention Vote,0.724137931034,29
ARVXIBUCA8WDZ,intervention Vote,0.714285714286,7
A1UE726OT3JLZ9,use of tech vote,0.736842105263,19
