Nt,J,Acc GT,Acc baseline estimation,Power GT,Power baseline estimation,Power SM-runs final estimation
1,3,"[0.78677224325733808, 0.78677224325733808, 0.86544946758307195, 0.70809501893160431]","[0.86591794756463381, 0.86720402558677823, 0.90254005527922365, 0.83303390911045949]","[0.14, 0.14, 0.28, 0.42]","[0.2004929779160838, 0.1899902329115901, 0.28224828811846975, 0.5146344511197316]","[0.11940139958643839, 0.14976571823347887, 0.27942598412118858, 0.39940948417383987]"
1,5,"[0.78521846320454269, 0.78521846320454269, 0.86374030952499703, 0.70669661688408847]","[0.79144435780696076, 0.78283990579598861, 0.89599525481350861, 0.6968262371613626]","[0.14, 0.14, 0.28, 0.42]","[0.10292559939130852, 0.11494134150064926, 0.24000790864417784, 0.43996801523127765]","[0.13358655737000602, 0.12998220774098643, 0.24805672399400336, 0.41652705444712412]"
1,10,"[0.78533096431160321, 0.78533096431160321, 0.86386406074276356, 0.70679786788044285]","[0.81599934518030903, 0.80798931168334787, 0.83799999906687528, 0.70405066153322882]","[0.14, 0.14, 0.28, 0.42]","[0.09999877799161033, 0.24002670779558133, 0.26000000440616916, 0.49960023843972595]","[0.12932430292403393, 0.16011380942112038, 0.30911163909095424, 0.43454808647715232]"
2,3,"[0.84789659914685722, 0.84789659914685722, 0.93268625906154301, 0.76310693923217154]","[0.83562340314219485, 0.88983139236743614, 0.91984718735386628, 0.81018910901361219]","[0.14, 0.14, 0.28, 0.42]","[0.21920769601458392, 0.20778883519011124, 0.2998097165171691, 0.48623919452821385]","[0.13095099223186862, 0.13850767632903524, 0.27188796541645605, 0.42088245462868734]"
2,5,"[0.84971129701310311, 0.84971129701310311, 0.93468242671441348, 0.76474016731179284]","[0.87774887745821051, 0.91199909988047922, 0.95199997402463876, 0.88275793224037369]","[0.14, 0.14, 0.28, 0.42]","[0.18012631901797047, 0.09999903892367688, 0.26000004329226867, 0.3762802429866036]","[0.12410907670014965, 0.12495333003175432, 0.27097617209888419, 0.39779546002177474]"
2,10,"[0.84889109408074126, 0.84889109408074126, 0.93378020348881541, 0.76400198467266711]","[0.87800000000000011, 0.8819999999999999, 0.92199999999999993, 0.76597377736275463]","[0.14, 0.14, 0.28, 0.42]","[0.160000000000001, 0.12000000000000002, 0.24, 0.5007485548627721]","[0.14611650980279833, 0.12813089737371752, 0.25190268404999172, 0.46935271207886331]"
3,3,"[0.89093450312547806, 0.89093450312547806, 0.98002795343802596, 0.80184105281293028]","[0.96648638037478862, 0.9599343185540129, 0.98666630237789499, 0.86810024321467893]","[0.14, 0.14, 0.28, 0.42]","[0.18044233670814638, 0.14009852217047367, 0.28000109286631514, 0.3218875917017799]","[0.19304827057967458, 0.15515280457426739, 0.2695006104526258, 0.39938739837837328]"
3,5,"[0.89142027061109885, 0.89142027061109885, 0.98056229767220882, 0.802278243549989]","[0.92799995157887338, 0.93599988680050672, 0.96400000000000008, 0.83690636099018401]","[0.14, 0.14, 0.28, 0.42]","[0.14000007793831928, 0.12000028199786222, 0.30000000000000004, 0.5111089051553922]","[0.15002156622726537, 0.13820498437716469, 0.25895875521370793, 0.43162005756537747]"
3,10,"[0.89054765128169777, 0.89054765128169777, 0.97960241640986767, 0.80149288615352798]","[0.92599999999999993, 0.92400000000000004, 0.96999999999999997, 0.83799998690143807]","[0.14, 0.14, 0.28, 0.42]","[0.22, 0.1, 0.4, 0.5000000191506154]","[0.13874420160721587, 0.14468239952784268, 0.31921990685000196, 0.41933878694912308]"
4,3,"[0.91593007951308913, 0.91593007951308913, 1.0, 0.82433707156178027]","[0.9246837961613108, 0.91933666697775662, 0.97999999987620068, 0.82827838736235859]","[0.14, 0.14, 0.28, 0.42]","[0.16198292991454288, 0.18190892236771078, 0.1800000003713984, 0.5506306976712909]","[0.13142679589226958, 0.16873057158846663, 0.28213276001775212, 0.40673223354272664]"
