Nt,J,lr,loss_mean,loss_std,FPR,TPR,price_mean,price_std,alg,recall,precision,f_beta,acc_term,theta
1,5,5,0.05994,0.0303726258331,0.0161893774515,0.949616366976,18.9322,0.721082852382,SM-runs,0.949616366976,0.992261049078,0.951127151704,-10,0.3
1,5,5,0.2123,0.0435431969428,0.131377294312,0.986709592787,14.30218,0.591464409411,SM-runs,0.986709592787,0.943818068287,0.984980576317,10,0.3
1,5,5,0.07812,0.0218610521247,0.0461527321448,0.98944106263,19.79272,0.755258579296,SM-runs,0.98944106263,0.979778377908,0.989063982579,gt,0.3
2,5,5,0.02664,0.0127244017541,0.0139776131218,0.992426402798,16.59888,0.533553695142,SM-runs,0.992426402798,0.993827190955,0.992479250889,-10,0.3
2,5,5,0.15002,0.03340867552,0.0905140090679,0.985069133026,9.2304,0.382796447214,SM-runs,0.985069133026,0.960603880498,0.984100731637,10,0.3
2,5,5,0.07238,0.0231273777156,0.0436463910856,0.991701432865,12.57866,0.540924342584,SM-runs,0.991701432865,0.981044988876,0.99128547781,gt,0.3
3,5,5,0.01386,0.00828495021108,0.00728476006731,0.996147803648,14.60964,0.439666089664,SM-runs,0.996147803648,0.996765140851,0.996171187046,-10,0.3
3,5,5,0.1387,0.0354351520386,0.0858134521088,0.991151652536,8.04416,0.289635450869,SM-runs,0.991151652536,0.962752089059,0.990025168578,10,0.3
3,5,5,0.05326,0.0267146476675,0.032043599796,0.993725929684,11.00092,0.47425342761,SM-runs,0.993725929684,0.986051880478,0.993424279651,gt,0.3
4,5,5,0.01098,0.00716237390814,0.00573115649555,0.997125233962,13.27224,0.378668116429,SM-runs,0.997125233962,0.997374372375,0.997134645406,-10,0.3
4,5,5,0.09364,0.0380072414153,0.054806609175,0.986578272988,7.2118,0.236286859558,SM-runs,0.986578272988,0.975997813087,0.986158726016,10,0.3
4,5,5,0.03596,0.0151841496305,0.0200832307184,0.992543777523,8.98144,0.39660742101,SM-runs,0.992543777523,0.991132370124,0.99248829643,gt,0.3
5,5,5,0.0114,0.00619031501622,0.0054129892598,0.995773695987,11.71218,0.230701858683,SM-runs,0.995773695987,0.997516814086,0.995840247662,-10,0.3
5,5,5,0.11278,0.0229253484161,0.0681288208286,0.989706811588,6.9013,0.138001340573,SM-runs,0.989706811588,0.969962287348,0.988930145285,10,0.3
5,5,5,0.03476,0.0110644656446,0.0197174476832,0.993839857371,8.00688,0.258433483899,SM-runs,0.993839857371,0.991191934366,0.993736588068,gt,0.3
6,5,5,0.0089,0.0053,0.003945550833,0.995947741657,10.7549,0.357376622067,SM-runs,0.995947741657,0.998228516325,0.996034997668,-10,0.3
6,5,5,0.09674,0.0242031485555,0.0577309395651,0.990061313372,6.76108,0.200538957811,SM-runs,0.990061313372,0.974327230014,0.989444285164,10,0.3
6,5,5,0.03092,0.0126488576559,0.0163345604026,0.991687150826,7.83324,0.207526726953,SM-runs,0.991687150826,0.992701988991,0.991722089259,gt,0.3
7,5,5,0.00916,0.00589019524294,0.00427639893809,0.996425452638,10.29278,0.320234806978,SM-runs,0.996425452638,0.998047116186,0.996487355296,-10,0.3
7,5,5,0.08184,0.0186057625482,0.0498097851106,0.991869616146,6.73698,0.195984845332,SM-runs,0.991869616146,0.978328419782,0.991340469247,10,0.3
7,5,5,0.02886,0.0135838286208,0.0159338609263,0.993835654555,7.73374,0.176054061015,SM-runs,0.993835654555,0.992894037841,0.993798275153,gt,0.3
8,5,5,0.00864,0.00541760094507,0.00392365285928,0.996177422361,9.99728,0.228500156674,SM-runs,0.996177422361,0.998266944435,0.996257331196,-10,0.3
8,5,5,0.07342,0.0209676798907,0.0440761808032,0.991876630173,6.686,0.170814753461,SM-runs,0.991876630173,0.980646101734,0.991438222429,10,0.3
8,5,5,0.03064,0.0153541655586,0.0170609615176,0.993719332202,7.67328,0.184111926827,SM-runs,0.993719332202,0.992413482912,0.993668120295,gt,0.3
9,5,5,0.00922,0.00552191995596,0.00420526613503,0.996056796199,9.9191,0.24013056865,SM-runs,0.996056796199,0.998114041415,0.996135450148,-10,0.3
9,5,5,0.06866,0.0177173474313,0.0405919525915,0.992208323877,6.669,0.18736157557,SM-runs,0.992208323877,0.981786191086,0.991802312886,10,0.3
9,5,5,0.0293,0.0123632519994,0.0164247229639,0.994377716812,7.60862,0.194066678232,SM-runs,0.994377716812,0.992652784953,0.994310460106,gt,0.3
10,5,5,0.0071,0.00628728876385,0.00293188734391,0.996368215719,9.85882,0.172032519019,SM-runs,0.996368215719,0.998657618104,0.996455770722,-10,0.3
10,5,5,0.06662,0.0191675663557,0.0401187777168,0.992919038668,6.63998,0.192929156946,SM-runs,0.992919038668,0.982377165654,0.992507776081,10,0.3
10,5,5,0.02852,0.0138466458032,0.0166360019613,0.9956531234,7.52536,0.180625442283,SM-runs,0.9956531234,0.992675004627,0.995537507668,gt,0.3
