Nt,J,lr,loss_mean,loss_std,FPR,TPR,price_mean,price_std,alg,recall,precision,f_beta,acc_term,theta,M
1,5,5,0.6838,0.0166240789219,0.0130794051467,0.0492876723346,3.8849,0.0033,SM-runs,0.0492876723346,0.898301346793,0.0584987981082,-10,0.3,3
1,5,5,0.6887,0.0151462866736,0.0172985937303,0.0455535967395,5.794,0.0117898261226,SM-runs,0.0455535967395,0.857668535018,0.0540860403363,-10,0.3,5
1,5,5,0.0235,0.0124197423484,0.012090155941,0.993448178521,28.4392,1.19064854596,SM-runs,0.993448178521,0.994462830162,0.993614252376,-10,0.3,100
1,5,5,0.6786,0.0181118745579,0.0102258038501,0.0475546025077,3.8888,0.00699714227381,SM-runs,0.0475546025077,0.915083983371,0.0564724199715,gt,0.3,3
1,5,5,0.0784,0.0234870176906,0.0457029678637,0.989957498557,18.405,0.603683029412,SM-runs,0.989957498557,0.979421009604,0.988179870997,gt,0.3,5
1,5,5,0.0723,0.021656638705,0.0428457257263,0.988812904276,18.6994,0.733643128503,SM-runs,0.988812904276,0.98168662846,0.987611709292,gt,0.3,100
2,5,5,0.6708,0.0168392398878,0.00335973606547,0.0479410607465,3.9051,0.0033,SM-runs,0.0479410607465,0.969728175051,0.0569608456246,-10,0.3,3
2,5,5,0.6652,0.0157022291411,0.00582060752262,0.0481474247709,5.813,0.00714142842854,SM-runs,0.0481474247709,0.947604566346,0.0571920893371,-10,0.3,5
2,5,5,0.0195,0.00884590300648,0.0101628538627,0.994244839575,17.8222,0.578667572964,SM-runs,0.994244839575,0.995536938056,0.994457094087,-10,0.3,100
2,5,5,0.0718,0.0171219157807,0.0420928019835,0.990144678951,12.1534,0.393447887274,SM-runs,0.990144678951,0.981353259891,0.988661824171,gt,0.3,3
2,5,5,0.0832,0.0171219157807,0.049854830333,0.989607100389,12.2756,0.333517375859,SM-runs,0.989607100389,0.978393074139,0.987715194865,gt,0.3,5
2,5,5,0.062,0.0134833230325,0.0366084879626,0.990658662927,12.0628,0.408071268285,SM-runs,0.990658662927,0.984167906992,0.98956604734,gt,0.3,100
3,5,5,0.665,0.00857904423581,0.00511367189355,0.0484727085719,3.9277,0.0021,SM-runs,0.0484727085719,0.951599450386,0.0575778116175,-10,0.3,3
3,5,5,0.0149,0.00692026011072,0.00683001856006,0.993632675285,13.1891,0.228405100644,SM-runs,0.993632675285,0.996961421795,0.994183626774,-10,0.3,5
3,5,5,0.0195,0.00525832673005,0.0091986082499,0.992725596347,13.1439,0.452417605758,SM-runs,0.992725596347,0.995749631523,0.993227216129,-10,0.3,100
3,5,5,0.0456,0.018320480343,0.0258121475378,0.989785749814,9.5113,0.193115535367,SM-runs,0.989785749814,0.989041683628,0.989655998975,gt,0.3,3
3,5,5,0.047,0.0146355731012,0.0263839619714,0.989957549708,9.4865,0.311405603675,SM-runs,0.989957549708,0.988541961926,0.989715182183,gt,0.3,5
3,5,5,0.0479,0.0117936423551,0.0270872455631,0.990785139319,9.5676,0.15163785807,SM-runs,0.990785139319,0.988062796402,0.990327646054,gt,0.3,100
