Nt,J,lr,loss_mean,loss_std,syn_votes_prop,price_mean,recall,precision,f_beta,f_beta_std,alg
1,3,5,0.266666666667,0.0146818103637,0.176666666667,6.3,0.817708333333,0.945744807571,0.836510663234,0.0202051209892,Baseline
1,3,5,0.274,0.0244404037064,0.176666666667,6.06165,0.8296875,0.941538780336,0.8464135882,0.011938292798,M-runs
1,3,5,0.118666666667,0.00884433277428,0.357913531575,5.77675,0.892708333333,0.982794129782,0.906530613349,0.0119369577452,SM-runs
1,5,5,0.122666666667,0.0307607253202,0.457,10.5,0.865625,0.986990324731,0.88354890251,0.0303828038535,Baseline
1,5,5,0.124,0.0190787840283,0.457,10.262,0.884375,0.982619871544,0.899234279139,0.0257550392563,M-runs
1,5,5,0.0773333333333,0.0189619502044,0.343576531416,6.77775,0.879166666667,1.0,0.897106110608,0.0257753924888,SM-runs
1,10,5,0.0353333333333,0.0178387842137,0.7285,21.0,0.944791666667,1.0,0.953454789146,0.0236760263597,Baseline
1,10,5,0.0263333333333,0.0153803626601,0.7285,20.489,0.958854166667,1.0,0.965392948387,0.0203570004138,M-runs
1,10,5,0.043,0.0148660687473,0.449992599283,12.21325,0.9328125,1.0,0.943298549098,0.0198714968706,SM-runs
2,3,5,0.238,0.0146969384567,0.281666666667,6.6,0.784375,0.961655338456,0.809161393738,0.0205007648516,Baseline
2,3,5,0.213,0.0126885775404,0.281666666667,6.4163,0.8234375,0.963417135539,0.843815930509,0.0174731922342,M-runs
2,3,5,0.0916666666667,0.0383912605796,0.455016819304,6.50796666667,0.888020833333,0.992887711704,0.90388384589,0.0219443372797,SM-runs
2,5,5,0.0923333333333,0.0227571722516,0.545,11.0,0.855729166667,1.0,0.876623312182,0.0311133747222,Baseline
2,5,5,0.116333333333,0.0194050394371,0.545,10.7616666667,0.896354166667,0.982847579471,0.909565290999,0.0261856807303,M-runs
2,5,5,0.0686666666667,0.0356588776542,0.433809557825,8.4645,0.9109375,0.995915055402,0.923994949756,0.0247457354554,SM-runs
