Nt,J,lr,loss_mean,loss_std,syn_votes_prop,price_mean,recall,precision,f_beta,f_beta_std,alg
2,3,5,0.164,0.0366606055596,0.724444444444,9.9,0.874117647059,0.984837077304,0.890670005753,0.0280768513902,Baseline
2,3,5,0.2264,0.0535447476416,0.724444444444,7.12998,0.831294117647,0.976991650478,0.852036656594,0.0485074565365,M-runs
2,3,5,0.1356,0.031187176852,0.607952195994,8.2401,0.938117647059,0.979660336292,0.944684667603,0.0224174439021,SM-runs
2,5,5,0.0848,0.0231723973727,0.832,16.5,0.900235294118,1.0,0.915348221865,0.0235455689112,Baseline
2,5,5,0.1124,0.0323456333993,0.832,11.7788,0.867764705882,1.0,0.887105399189,0.0331770397662,M-runs
2,5,5,0.063,0.0205182845287,0.682696459236,11.34408,0.925882352941,1.0,0.937378625624,0.0206580223406,SM-runs
3,3,5,0.1092,0.0338136067287,0.785555555556,10.35,0.875058823529,0.999196202836,0.89336556562,0.0316494730955,Baseline
3,3,5,0.1758,0.0552119552271,0.785555555556,7.65072,0.817882352941,0.993992747421,0.842287699006,0.0500307716174,M-runs
3,3,5,0.093,0.034597687784,0.672497184869,8.69975,0.915294117647,0.994669525337,0.92750370597,0.0249908120548,SM-runs
3,5,5,0.0764,0.0264393645915,0.870666666667,17.25,0.910117647059,1.0,0.923817926655,0.0267889072937,Baseline
3,5,5,0.1222,0.0378570997304,0.870666666667,12.535,0.856235294118,1.0,0.876958473427,0.038993547109,M-runs
3,5,5,0.066,0.024899799196,0.716897510771,12.11226,0.922352941176,1.0,0.934321216266,0.0251814080287,SM-runs
4,3,5,0.116,0.0277128129211,0.827777777778,10.8,0.863529411765,1.0,0.883469038527,0.0285184998743,Baseline
4,3,5,0.2076,0.0531623927227,0.827777777778,8.20944,0.788705882353,0.991671678037,0.816160985433,0.0461312031506,M-runs
4,3,5,0.1098,0.0328323011682,0.705184453031,10.55664,0.906117647059,0.992339256211,0.919272919286,0.0271079175484,SM-runs
4,5,5,0.0872,0.0251427922077,0.896,18.0,0.897411764706,1.0,0.912894587294,0.0255350213978,Baseline
4,5,5,0.1322,0.0294136022955,0.896,13.2984,0.844470588235,1.0,0.866763640133,0.0303130105241,M-runs
4,5,5,0.0814,0.0350434016614,0.714812701348,14.35536,0.904235294118,1.0,0.918652809358,0.0356431559271,SM-runs
5,3,5,0.1292,0.034341811251,0.886666666667,11.25,0.848,1.0,0.869795005262,0.0356148145375,Baseline
5,3,5,0.2198,0.0512050778732,0.886666666667,8.60925,0.741411764706,1.0,0.774231811547,0.0545682871681,M-runs
5,3,5,0.1584,0.0915502048059,0.752344683892,10.78825,0.813647058824,1.0,0.837885989118,0.0994979868992,SM-runs
5,5,5,0.0918,0.0279778483805,0.932,18.75,0.892,1.0,0.908191058165,0.0285070929724,Baseline
5,5,5,0.1542,0.0394507287639,0.932,14.01875,0.818588235294,1.0,0.843780800576,0.0412922400089,M-runs
5,5,5,0.184,0.125395374715,0.76278698038,14.19025,0.783529411765,1.0,0.809330473642,0.138308553037,SM-runs
