Nt,J,lr,loss_mean,loss_std,FPR,TPR,price_mean,price_std,alg,recall,precision,f_beta
2,3,5,0.591033333333,0.0594365114125,0.346951808806,0.921055700939,12.0,0.0,Baseline,0.921055700939,0.855762824682,0.909453168752
2,3,5,0.487266666667,0.0627592932472,0.25687092526,0.868655997514,9.06666666667,0.249443825785,M-runs,0.868655997514,0.883610153141,0.871006526073
2,3,5,0.179533333333,0.0600559368885,0.100969140853,0.966528817296,11.5,0.718795288428,SM-runs,0.966528817296,0.955691261993,0.96455585703
2,5,5,0.329033333333,0.0471709538688,0.19457501106,0.956234532109,21.0,0.0,Baseline,0.956234532109,0.917354419275,0.949495380607
2,5,5,0.2844,0.0549403312695,0.158442888979,0.939821212943,15.9333333333,0.249443825785,M-runs,0.939821212943,0.930765428096,0.938260041589
2,5,5,0.119266666667,0.0310472042041,0.0541668842099,0.947977359035,11.9333333333,0.573488351136,SM-runs,0.947977359035,0.975468393948,0.952323910438
2,10,5,0.118966666667,0.023310202821,0.0721678060565,0.989426390729,42.0,0.0,Baseline,0.989426390729,0.968338092498,0.985839119101
2,10,5,0.106866666667,0.0235169914931,0.0629549382648,0.985723939257,32.7333333333,0.442216638714,M-runs,0.985723939257,0.972328790648,0.983457164219
2,10,5,0.103166666667,0.0222891353703,0.0383060979471,0.935288819803,12.8,0.748331477355,SM-runs,0.935288819803,0.982355992751,0.942594623296
3,3,5,0.476333333333,0.0496503328846,0.279722290394,0.935039905374,12.0,0.0,Baseline,0.935039905374,0.882325190984,0.925767048866
3,3,5,0.399833333333,0.0565013765811,0.21544364478,0.901706589223,9.26666666667,0.442216638714,M-runs,0.901706589223,0.903845272994,0.901982540452
3,3,5,0.144166666667,0.065857463932,0.0784352352683,0.96696123734,10.2,0.979795897113,SM-runs,0.96696123734,0.965549416753,0.965994958017
3,5,5,0.234266666667,0.0465867887806,0.139897957975,0.970838207374,21.0,0.0,Baseline,0.970838207374,0.940355675215,0.965593920966
3,5,5,0.213966666667,0.0410264007141,0.118522306652,0.951716141778,16.1,0.3,M-runs,0.951716141778,0.948284729321,0.951111021948
3,5,5,0.1073,0.0451169960584,0.0575673602209,0.971660420459,11.0333333333,0.706320670014,SM-runs,0.971660420459,0.974950351653,0.972098442103
3,10,5,0.0768,0.0189690976767,0.047092291758,0.994481524575,43.0,0.0,Baseline,0.994481524575,0.979144351217,0.991887879684
3,10,5,0.0642666666667,0.0211075552561,0.0375342523074,0.991605092613,33.6,0.611010092661,M-runs,0.991605092613,0.983140125033,0.990176650731
3,10,5,0.0754333333333,0.0237748933868,0.0375976893498,0.975194349049,12.2333333333,0.422952584682,SM-runs,0.975194349049,0.983028390827,0.976450569963
4,3,5,0.398433333333,0.0510233171098,0.229683961069,0.94956999918,13.0,0.0,Baseline,0.94956999918,0.899092482425,0.94073084654
4,3,5,0.328133333333,0.054873025148,0.17365458454,0.923524206553,9.96666666667,0.179505493571,M-runs,0.923524206553,0.919520125018,0.922784084048
4,3,5,0.1133,0.0345110127351,0.0652901282999,0.985418265045,9.53333333333,0.95684667296,SM-runs,0.985418265045,0.970267460622,0.982844343562
4,5,5,0.1885,0.0302674192271,0.113336914292,0.977442755889,22.0,0.0,Baseline,0.977442755889,0.951598726574,0.97301836768
