Nt,J,lr,loss_mean,loss_std,FPR,TPR,price_mean,price_std,alg,recall,precision,f_beta,acc_term,theta
2,5,5,0.04196,0.0161269463942,0.0137495692852,0.970052837784,18.7308,0.535107129461,SM-runs,0.970052837784,0.993673565929,0.970933116126,-10,0.3
2,5,5,0.20562,0.0446550736199,0.126569443059,0.98760746766,13.97372,0.534581781957,SM-runs,0.98760746766,0.94528985054,0.985903443653,10,0.3
2,5,5,0.07242,0.0194237895376,0.0424334517417,0.990952134004,19.61448,0.742694371596,SM-runs,0.990952134004,0.980968211362,0.9905620338,gt,0.3
3,5,5,0.02878,0.0121824299711,0.0126968312216,0.986564341625,17.98466,0.62124184051,SM-runs,0.986564341625,0.994328840599,0.986859477618,-10,0.3
3,5,5,0.18012,0.0637882873261,0.109095508418,0.98340142364,11.1979,0.611551379689,SM-runs,0.98340142364,0.952884827205,0.982179542856,10,0.3
3,5,5,0.07592,0.02644,0.0464125119004,0.993743337507,16.34936,0.709223991698,SM-runs,0.993743337507,0.979616467673,0.993190223391,gt,0.3
4,5,5,0.02078,0.0101139309865,0.0108877902729,0.994248640295,16.21562,0.50177297217,SM-runs,0.994248640295,0.995138457565,0.994282299609,-10,0.3
4,5,5,0.14214,0.0399169187188,0.0867300379333,0.986792386567,9.07028,0.301236919384,SM-runs,0.986792386567,0.962635547111,0.985836177164,10,0.3
4,5,5,0.06836,0.0231393690493,0.0410837229091,0.993253344708,12.22896,0.363596532437,SM-runs,0.993253344708,0.981769776418,0.992804798587,gt,0.3
5,5,5,0.01556,0.0103463230183,0.0080859063109,0.995551755026,15.39012,0.482216948686,SM-runs,0.995551755026,0.99637897264,0.995583176948,-10,0.3
5,5,5,0.16204,0.0319586983465,0.100467589815,0.989253093671,8.36844,0.220149327503,SM-runs,0.989253093671,0.95683110452,0.9879626686,10,0.3
5,5,5,0.05138,0.0202513110687,0.0305241282021,0.994363983547,11.46574,0.440006582223,SM-runs,0.994363983547,0.986322603405,0.994050863342,gt,0.3
6,5,5,0.01264,0.00787085764069,0.00695970290854,0.997201610757,14.2989,0.473863830652,SM-runs,0.997201610757,0.996911888471,0.997190158754,-10,0.3
6,5,5,0.13798,0.0344142354266,0.0847296870121,0.987901530328,7.91926,0.292826898355,SM-runs,0.987901530328,0.963613067532,0.986936342462,10,0.3
6,5,5,0.05906,0.0329183292407,0.0362304075895,0.995126205985,10.81836,0.406045896913,SM-runs,0.995126205985,0.98416158189,0.994696217693,gt,0.3
7,5,5,0.00978,0.00603420251566,0.00530775812794,0.997576832441,13.66198,0.480397355946,SM-runs,0.997576832441,0.99766691527,0.997580090365,-10,0.3
7,5,5,0.2005,0.171768361464,0.123547345787,0.987515750795,7.31096,0.597835159889,SM-runs,0.987515750795,0.948778097327,0.985874560177,10,0.3
7,5,5,0.06142,0.0500983392938,0.0361419789167,0.992582254418,9.5264,0.361606692416,SM-runs,0.992582254418,0.983963745783,0.99223985865,gt,0.3
8,5,5,0.00882,0.00539514596651,0.00451154975809,0.997366265751,13.06912,0.382472986759,SM-runs,0.997366265751,0.997970070459,0.997389184037,-10,0.3
8,5,5,0.11022,0.0299307801435,0.0649954511021,0.985380292526,6.98456,0.309598266145,SM-runs,0.985380292526,0.971505025381,0.984834854593,10,0.3
8,5,5,0.0375,0.0146003424617,0.0213200468333,0.993493883816,8.511,0.316521215719,SM-runs,0.993493883816,0.990471311079,0.993376166,gt,0.3
9,5,5,0.00958,0.00584838439229,0.00469398789799,0.996682273968,12.09796,0.288028468037,SM-runs,0.996682273968,0.997880447697,0.996727962306,-10,0.3
9,5,5,0.10358,0.0286287198456,0.0624515572192,0.990007074529,6.99858,0.206635533246,SM-runs,0.990007074529,0.972500043909,0.989319664225,10,0.3
9,5,5,0.0398,0.0166288905222,0.0227088406423,0.993335558482,8.23122,0.275000093818,SM-runs,0.993335558482,0.989840008263,0.993199432659,gt,0.3
10,5,5,0.01104,0.00848518709281,0.00556152536895,0.99631014033,11.4404,0.283277743566,SM-runs,0.99631014033,0.997549424204,0.996357430315,-10,0.3
10,5,5,0.09538,0.0262685286988,0.0573002970696,0.989734518898,6.94644,0.183176325981,SM-runs,0.989734518898,0.974880065505,0.989151660773,10,0.3
10,5,5,0.03218,0.0122746731117,0.0181293265024,0.993958714362,8.1019,0.201872558809,SM-runs,0.993958714362,0.991917631533,0.993879103566,gt,0.3
