Nt,J,lr,loss_mean,loss_std,FPR,TPR,price_mean,price_std,alg,recall,precision,f_beta,pow_term,theta,M
1,5,5,0.4124,0.006666333325,0.00345498568833,0.0498750239833,3.6661,0.441434355256,SM-runs,0.0498750239833,0.916655564914,0.0591912790266,10,0.3,3
1,5,5,0.0329,0.0114843371598,0.0103783897878,0.993148719932,11.5884,0.231011341713,SM-runs,0.993148719932,0.985884599406,0.991925103417,10,0.3,5
1,5,5,0.0358,0.0131969693491,0.0112439439145,0.992315369004,11.6486,0.317019620844,SM-runs,0.992315369004,0.984715489708,0.991031502358,10,0.3,10
1,5,5,0.0374,0.0122245654319,0.0118331451945,0.991945813297,11.6,0.28086153172,SM-runs,0.991945813297,0.984156506914,0.990631261524,10,0.3,100
1,5,5,0.0715,0.0388825153507,0.00700645090234,0.590684113404,6.8089,2.82083453786,SM-runs,0.590684113404,0.76050507701,0.590792479067,10,0.8,3
1,5,5,0.0357,0.0188204675819,0.00686550336015,0.954728083331,8.9818,0.522283601121,SM-runs,0.954728083331,0.937979077219,0.951531205583,10,0.8,5
1,5,5,0.0333,0.00738985791474,0.00626061907734,0.949660115676,8.8497,0.481928635796,SM-runs,0.949660115676,0.946709248865,0.949145393898,10,0.8,10
1,5,5,0.0399,0.0183327575667,0.00789824910531,0.957971088868,9.0834,0.355371974134,SM-runs,0.957971088868,0.932765951355,0.953302867702,10,0.8,100
1,5,5,0.3424,0.15083182688,0.006463543009,0.236808994326,5.496,3.31541047232,SM-runs,0.236808994326,0.903348974924,0.243755701269,-10,0.3,3
1,5,5,0.0488,0.0139699677881,0.0156360075587,0.990958788435,11.6944,0.153546214541,SM-runs,0.990958788435,0.97902820755,0.988938329201,-10,0.3,5
1,5,5,0.0361,0.0126684647847,0.0114586788756,0.992663403882,11.6951,0.212338150129,SM-runs,0.992663403882,0.984588678683,0.991297893196,-10,0.3,10
1,5,5,0.0424,0.0168059513268,0.0133889361935,0.991804935195,11.4614,0.212065650212,SM-runs,0.991804935195,0.981555037042,0.990066638917,-10,0.3,100
1,5,5,0.0717,0.0294314457681,0.00677492945317,0.579163763175,6.707,2.74272102118,SM-runs,0.579163763175,0.838038825476,0.581144038744,-10,0.8,3
1,5,5,0.0339,0.0209926177501,0.00651362659737,0.953495806936,8.6157,0.470597503181,SM-runs,0.953495806936,0.939665983006,0.950945794603,-10,0.8,5
1,5,5,0.0425,0.0210724939198,0.0083771794451,0.950458594781,9.2953,0.521165050632,SM-runs,0.950458594781,0.930902148836,0.946894330022,-10,0.8,10
1,5,5,0.0356,0.0215879596072,0.00702035016658,0.959451707941,8.807,0.425953988125,SM-runs,0.959451707941,0.941210439205,0.956064658965,-10,0.8,100
1,5,5,0.3384,0.154960123903,0.00539151740253,0.237337131289,5.0877,3.18109232969,SM-runs,0.237337131289,0.907861253733,0.244657404731,gt,0.3,3
1,5,5,0.0317,0.0140288987451,0.0101620784767,0.99357360613,11.6305,0.281661232689,SM-runs,0.99357360613,0.986592676525,0.992393987749,gt,0.3,5
1,5,5,0.0351,0.00884816365129,0.0109521377055,0.992421585183,11.7682,0.342332236285,SM-runs,0.992421585183,0.984702382464,0.991122302406,gt,0.3,10
1,5,5,0.0253,0.0113934191532,0.00798610981941,0.994580395222,11.5159,0.226912516182,SM-runs,0.994580395222,0.989196386733,0.993675962448,gt,0.3,100
1,5,5,0.0595,0.0331006042241,0.00661500539692,0.688263392118,7.5436,2.83222856422,SM-runs,0.688263392118,0.854303197971,0.689169987236,gt,0.8,3
1,5,5,0.0324,0.00885663593019,0.00599038636838,0.945549651535,9.0696,0.44298401777,SM-runs,0.945549651535,0.945040004791,0.945382639039,gt,0.8,5
1,5,5,0.0386,0.0166084315936,0.00734638090619,0.944431847682,8.7772,0.598354209478,SM-runs,0.944431847682,0.935877614328,0.942910053417,gt,0.8,10
1,5,5,0.0406,0.0179510445379,0.00790786367074,0.947913556801,9.0661,0.565179697088,SM-runs,0.947913556801,0.932308550634,0.944983487358,gt,0.8,100
1,5,5,0.3098,0.156742974324,0.00875619654491,0.329831366584,5.7863,3.67575146195,SM-runs,0.329831366584,0.936775065798,0.335405582125,est,0.3,3
1,5,5,0.0483,0.0188098378515,0.0150847467751,0.988654790605,11.3809,0.447048196507,SM-runs,0.988654790605,0.979677249029,0.987138814821,est,0.3,5
1,5,5,0.0509,0.0247768036679,0.0163821345498,0.992988296571,11.203,0.256695539502,SM-runs,0.992988296571,0.977292457981,0.990318386076,est,0.3,10
1,5,5,0.0455,0.0183480244168,0.0148206806396,0.994025424068,11.4102,0.380503561087,SM-runs,0.994025424068,0.979844948272,0.991624376023,est,0.3,100
1,5,5,0.0598,0.0339523195084,0.00676089459249,0.706911263607,7.4568,2.61861424421,SM-runs,0.706911263607,0.883866360627,0.712239283615,est,0.8,3
1,5,5,0.04,0.0275535841589,0.00592611852277,0.872243520289,9.289,1.46674312679,SM-runs,0.872243520289,0.914244817095,0.871077650041,est,0.8,5
1,5,5,0.0334,0.0113595774569,0.0067782260238,0.971150337974,9.6819,0.373633898355,SM-runs,0.971150337974,0.941268032812,0.965919602619,est,0.8,10
1,5,5,0.044,0.0135941163744,0.00903837512614,0.966835902553,9.9072,0.70689826708,SM-runs,0.966835902553,0.925327169462,0.959524609548,est,0.8,100
2,5,5,0.2553,0.183265408629,0.00492392897562,0.431354411125,5.3532,2.39535299278,SM-runs,0.431354411125,0.974975718617,0.43714917004,10,0.3,3
