tests_page,N,Nj,loss_avg,loss_std,budget,cr,papers_page,theta
1,2,2,0.363666,0.0286874963007,2.2,1,10,0.3
2,2,2,0.317694,0.0283998303516,2.4,1,10,0.3
3,2,2,0.274984,0.0257243803424,2.6,1,10,0.3
4,2,2,0.231556,0.0227970801639,2.8,1,10,0.3
5,2,2,0.205368,0.023552506788,3,1,10,0.3
6,2,2,0.169676,0.0220395785804,3.2,1,10,0.3
1,3,2,0.169676,0.0220395785804,3.3,1,10,0.3
7,2,2,0.15198,0.0192206035285,3.4,1,10,0.3
2,3,2,0.149946,0.0217763423008,3.6,1,10,0.3
8,2,2,0.134016,0.0179668512545,3.6,1,10,0.3
9,2,2,0.124806,0.0172970044805,3.8,1,10,0.3
3,3,2,0.113022,0.0176526348175,3.9,1,10,0.3
10,2,2,0.113022,0.0176526348175,4,1,10,0.3
4,3,2,0.080766,0.0148827834762,4.2,1,10,0.3
5,3,2,0.063232,0.0136634613477,4.5,1,10,0.3
6,3,2,0.044318,0.01170225944,4.8,1,10,0.3
7,3,2,0.03571,0.00928309754338,5.1,1,10,0.3
8,3,2,0.027186,0.00757980237209,5.4,1,10,0.3
1,5,3,0.027186,0.00757980237209,5.5,1,10,0.3
9,3,2,0.023578,0.00700470670335,5.7,1,10,0.3
2,5,3,0.019824,0.00707849023451,6,1,10,0.3
10,3,2,0.019824,0.00707849023451,6,1,10,0.3
3,5,3,0.019824,0.00707849023451,6.5,1,10,0.3
4,5,3,0.019824,0.00707849023451,7,1,10,0.3
5,5,3,0.019824,0.00707849023451,7.5,1,10,0.3
6,5,3,0.016658,0.00642518762372,8,1,10,0.3
7,5,3,0.012088,0.00532017443323,8.5,1,10,0.3
8,5,3,0.008148,0.00419834443561,9,1,10,0.3
9,5,3,0.006364,0.00363146031233,9.5,1,10,0.3
10,5,3,0.00539,0.00331540344453,10,1,10,0.3
1,2,2,0.46288,0.0475680733265,2.2,5,10,0.3
2,2,2,0.386394,0.044410187615,2.4,5,10,0.3
3,2,2,0.31932,0.0410417543485,2.6,5,10,0.3
4,2,2,0.264354,0.0349982668714,2.8,5,10,0.3
5,2,2,0.22156,0.0319216290311,3,5,10,0.3
6,2,2,0.200178,0.0279036254992,3.2,5,10,0.3
1,3,2,0.200178,0.0279036254992,3.3,5,10,0.3
7,2,2,0.170158,0.0246823628529,3.4,5,10,0.3
2,3,2,0.170158,0.0246823628529,3.6,5,10,0.3
8,2,2,0.151666,0.0225293684776,3.6,5,10,0.3
9,2,2,0.13405,0.0216891101708,3.8,5,10,0.3
3,3,2,0.13405,0.0216891101708,3.9,5,10,0.3
10,2,2,0.122496,0.019615758563,4,5,10,0.3
4,3,2,0.122496,0.019615758563,4.2,5,10,0.3
5,3,2,0.122496,0.019615758563,4.5,5,10,0.3
6,3,2,0.105908,0.0301468329348,4.8,5,10,0.3
7,3,2,0.080052,0.0254273336392,5.1,5,10,0.3
8,3,2,0.064606,0.0223187088336,5.4,5,10,0.3
1,5,3,0.064606,0.0223187088336,5.5,5,10,0.3
9,3,2,0.05153,0.0205085128666,5.7,5,10,0.3
2,5,3,0.043676,0.0192347348305,6,5,10,0.3
10,3,2,0.043676,0.0192347348305,6,5,10,0.3
3,5,3,0.043676,0.0192347348305,6.5,5,10,0.3
4,5,3,0.043676,0.0192347348305,7,5,10,0.3
5,5,3,0.043676,0.0192347348305,7.5,5,10,0.3
6,5,3,0.042716,0.0194109078613,8,5,10,0.3
7,5,3,0.0264,0.013809851556,8.5,5,10,0.3
8,5,3,0.020126,0.0123837039693,9,5,10,0.3
9,5,3,0.013766,0.00985115445011,9.5,5,10,0.3
10,5,3,0.011042,0.00935939292903,10,5,10,0.3
1,2,2,0.5763,0.0838601097066,2.2,10,10,0.3
2,2,2,0.491072,0.0731818749145,2.4,10,10,0.3
3,2,2,0.394416,0.0609342838146,2.6,10,10,0.3
4,2,2,0.306408,0.0524513635285,2.8,10,10,0.3
5,2,2,0.26906,0.0471322013065,3,10,10,0.3
6,2,2,0.21631,0.0397270172553,3.2,10,10,0.3
1,3,3,0.21631,0.0397270172553,3.3,10,10,0.3
7,2,2,0.192184,0.0380404803335,3.4,10,10,0.3
2,3,3,0.192184,0.0380404803335,3.6,10,10,0.3
8,2,2,0.161676,0.0334394830104,3.6,10,10,0.3
9,2,2,0.145396,0.0310704229775,3.8,10,10,0.3
3,3,3,0.145396,0.0310704229775,3.9,10,10,0.3
10,2,2,0.13626,0.0277996474798,4,10,10,0.3
4,3,2,0.13626,0.0277996474798,4.2,10,10,0.3
5,3,2,0.13626,0.0277996474798,4.5,10,10,0.3
6,3,2,0.13626,0.0277996474798,4.8,10,10,0.3
7,3,2,0.13626,0.0277996474798,5.1,10,10,0.3
8,3,2,0.103542,0.0450030469635,5.4,10,10,0.3
1,5,4,0.103542,0.0450030469635,5.5,10,10,0.3
9,3,2,0.08501,0.0404964183601,5.7,10,10,0.3
2,5,4,0.07615,0.036843527247,6,10,10,0.3
10,3,2,0.07615,0.036843527247,6,10,10,0.3
3,5,4,0.07615,0.036843527247,6.5,10,10,0.3
4,5,3,0.07615,0.036843527247,7,10,10,0.3
5,5,3,0.07615,0.036843527247,7.5,10,10,0.3
6,5,3,0.064268,0.0336649398633,8,10,10,0.3
7,5,3,0.048142,0.0296283620202,8.5,10,10,0.3
8,5,3,0.031954,0.0241671240325,9,10,10,0.3
9,5,3,0.024618,0.0209991922702,9.5,10,10,0.3
10,5,3,0.021312,0.019013012807,10,10,10,0.3
